City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,madaoua,14.073,5.96,88.45,50,94,11.07,NE,1691345421
138,farafangana,-22.8167,47.8333,67.12,86,43,9.01,MG,1691345421
139,el nido,11.1858,119.3956,81.93,79,37,11.7,PH,1691345421
140,ovalle,-30.5983,-71.2003,65.32,56,86,2.62,CL,1691345421
141,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,100,40,6.71,RU,1691345421
142,gamba,-2.65,10.0,71.02,84,47,6.13,GA,1691345421
143,dickinson,29.4608,-95.0513,104.02,54,40,13.8,US,1691344923
144,invercargill,-46.4,168.35,42.03,96,88,5.01,NZ,1691344945
145,sangonera la verde,37.9286,-1.2079,89.04,53,0,4.0,ES,1691345422
146,ketchikan,55.3422,-131.6461,68.47,77,0,12.66,US,1691345422
147,inhambane,-23.865,35.3833,65.89,71,6,6.64,MZ,1691345422
148,coruche,38.9595,-8.5252,101.7,15,0,14.9,PT,1691345422
149,vila franca do campo,37.7167,-25.4333,75.61,64,75,1.59,PT,1691345423
150,kadom,54.5592,42.4675,71.2,73,0,6.87,RU,1691345423
151,red wing,44.5625,-92.5338,71.1,83,75,3.44,US,1691345158
152,floro,61.5996,5.0328,62.67,63,20,9.22,NO,1691345423
153,lerwick,60.1545,-1.1494,55.4,71,93,6.29,GB,1691345347
154,tolanaro,-25.0319,46.9987,69.66,76,46,16.04,MG,1691345423
155,lewiston orchards,46.3804,-116.9754,78.51,51,20,6.91,US,1691345424
156,lubang,13.8584,120.124,83.3,80,79,22.08,PH,1691345424
157,jamestown,42.097,-79.2353,85.01,49,0,12.66,US,1691345156
158,labytnangi,66.6572,66.4183,68.54,60,2,3.18,RU,1691345424
159,chui,-33.6971,-53.4616,77.49,54,96,10.98,UY,1691345424
160,vila velha,-20.3297,-40.2925,78.75,66,20,16.11,BR,1691345425
161,essaouira,31.5125,-9.77,70.36,85,15,10.25,MA,1691345425
162,merizo village,13.2658,144.6691,79.36,97,97,5.03,GU,1691345425
163,saint-pierre,-21.3393,55.4781,69.48,78,100,27.63,RE,1691345426
164,basco,20.4487,121.9702,82.13,89,86,27.49,PH,1691345426
165,grovetown,33.4504,-82.1982,94.77,56,20,8.05,US,1691345365
166,kashmar,35.2383,58.4656,86.94,26,52,2.59,IR,1691345426
167,papatowai,-46.5619,169.4708,44.49,95,98,5.17,NZ,1691345427
168,maintirano,-18.0667,44.0167,75.87,79,41,2.35,MG,1691345427
169,banfora,10.6333,-4.7667,75.06,91,100,1.25,BF,1691345427
170,wailua homesteads,22.0669,-159.378,81.39,79,20,9.22,US,1691345427
171,ubari,26.5921,12.7805,101.59,12,0,8.7,LY,1691345427
172,broken hill,-31.95,141.4333,42.93,84,25,8.59,AU,1691345428
173,laramie,41.3114,-105.5911,69.1,38,0,14.97,US,1691345428
174,ancud,-41.8697,-73.8203,48.63,70,33,5.99,CL,1691345428
175,port elizabeth,-33.918,25.5701,58.1,82,5,10.76,ZA,1691345265
176,nizhny tagil,57.9194,59.965,62.38,96,21,4.38,RU,1691345428
177,balabac,7.9868,117.0645,82.13,79,1,10.04,PH,1691345428
178,atafu village,-8.5421,-172.5159,83.08,75,79,9.08,TK,1691345428
179,nemuro,43.3236,145.575,58.86,97,100,8.3,JP,1691345288
180,zinjibar,13.1287,45.3807,87.57,69,32,11.79,YE,1691345429
181,shchigry,51.8755,36.9043,80.42,60,1,9.48,RU,1691345429
182,flin flon,54.7682,-101.865,75.88,36,6,12.19,CA,1691345429
183,miracema do tocantins,-9.5618,-48.3967,100.22,19,12,5.21,BR,1691345429
184,midvagur,62.0511,-7.1939,54.43,87,100,5.75,FO,1691345429
185,catio,11.2833,-15.25,79.2,87,100,11.32,GW,1691345430
186,suva,-18.1416,178.4415,71.08,100,75,0.0,FJ,1691345328
187,laojunmiao,39.8333,97.7333,74.1,24,30,5.82,CN,1691345430
188,college,64.8569,-147.8028,73.2,58,75,1.99,US,1691345307
189,al bawiti,28.3492,28.8659,97.21,12,0,9.48,EG,1691345333
190,hawaiian paradise park,19.5933,-154.9731,72.91,90,100,10.36,US,1691345431
191,yarmouth,41.7057,-70.2286,81.07,57,0,8.05,US,1691345333
192,antsiranana,-12.2787,49.2917,73.18,75,83,18.45,MG,1691345431
193,newman,37.3138,-121.0208,91.06,41,0,8.99,US,1691345431
194,forster,-32.1667,152.5167,51.3,100,75,5.61,AU,1691345317
195,punta arenas,-53.15,-70.9167,36.3,64,81,19.42,CL,1691345348
196,san cristobal,7.7669,-72.225,87.98,47,82,8.77,VE,1691345432
197,salalah,17.0151,54.0924,78.89,100,100,5.75,OM,1691345247
198,kirensk,57.7853,108.1119,56.53,98,70,3.13,RU,1691345432
199,hammerfest,70.6634,23.6821,55.85,67,75,9.22,NO,1691345251
200,torghay,49.6339,63.4981,78.15,49,100,8.57,KZ,1691345432
201,san borja,-14.8167,-66.85,97.11,26,0,7.81,BO,1691345432
202,kapa'a,22.0752,-159.319,82.72,79,20,9.22,US,1691345432
203,larache,35.1932,-6.1557,92.73,33,0,14.12,MA,1691345433
204,ghadamis,30.1337,9.5007,96.57,22,0,11.12,LY,1691345433
205,hailar,49.2,119.7,60.66,69,100,4.9,CN,1691345433
206,as sulayyil,20.4607,45.5779,99.72,9,19,9.71,SA,1691345433
207,blackwater,-23.5833,148.8833,54.7,100,4,7.34,AU,1691345434
208,bonthe,7.5264,-12.505,80.01,76,88,11.36,SL,1691345287
209,hola,51.5377,23.1902,69.98,93,88,8.77,PL,1691345434
210,sarupathar,26.1984,93.8094,77.47,97,100,3.09,IN,1691345434
211,matthew town,20.95,-73.6667,87.28,69,0,17.25,BS,1691345434
212,new norfolk,-42.7826,147.0587,42.71,97,15,3.02,AU,1691345435
213,lethem,3.3803,-59.7968,88.77,60,29,2.75,GY,1691345435
214,safi,32.1667,-8.8333,78.64,54,0,14.0,MA,1691345435
215,papao,-17.75,-149.55,78.48,76,68,2.8,PF,1691345435
216,hasaki,35.7333,140.8333,79.3,89,24,10.58,JP,1691345435
217,calabozo,8.9242,-67.4293,84.31,78,22,3.87,VE,1691345435
218,east london,-33.0153,27.9116,63.54,88,100,8.05,ZA,1691345436
219,arteche,12.2645,125.4048,81.7,74,46,11.3,PH,1691345436
220,uturoa,-16.7333,-151.4333,77.79,77,29,9.04,PF,1691345436
221,hithadhoo,-0.6,73.0833,82.47,75,90,5.66,MV,1691345436
222,praia da vitoria,38.7333,-27.0667,70.75,92,83,6.58,PT,1691345436
223,rio gallegos,-51.6226,-69.2181,35.65,55,20,33.38,AR,1691345185
224,dazuocun,24.8862,118.9643,81.68,90,45,11.43,CN,1691345437
225,malpica,43.3228,-8.8105,73.89,66,13,20.07,ES,1691345437
226,luderitz,-26.6481,15.1594,63.07,68,4,9.71,NA,1691345437
227,dajal,29.5577,70.3762,101.39,30,29,13.11,PK,1691345437
228,antofagasta,-23.65,-70.4,67.28,70,11,9.4,CL,1691345216
229,santa cruz,-17.8,-63.1667,90.86,49,2,29.93,BO,1691345438
230,coquimbo,-29.9533,-71.3436,65.93,59,40,10.36,CL,1691345228
231,kirakira,-10.4544,161.9205,76.32,91,98,7.76,SB,1691345438
232,maxixe,-23.8597,35.3472,64.78,73,9,5.7,MZ,1691345438
233,great falls,47.5002,-111.3008,68.45,78,100,11.5,US,1691345113
234,avarua,-21.2078,-159.775,68.05,100,100,3.44,CK,1691345438
235,portland,45.5234,-122.6762,73.53,77,71,1.99,US,1691344854
236,badger,64.8,-147.5333,73.13,61,100,0.0,US,1691345439
237,kodiak,57.79,-152.4072,53.11,94,100,5.75,US,1691345439
238,dongdai,26.2419,119.6169,80.15,92,44,4.92,CN,1691345439
239,weno,7.4515,151.8468,82.44,76,100,18.88,FM,1691345297
240,xinyuan,37.3,99.0,42.33,88,56,0.27,CN,1691345440
241,dubai,25.2582,55.3047,105.73,31,0,6.91,AE,1691345273
242,guerrero negro,27.9769,-114.0611,88.57,36,66,3.47,MX,1691345440
243,longyearbyen,78.2186,15.6401,49.84,87,75,4.61,SJ,1691345440
244,dingcheng,32.1272,115.0394,79.57,90,17,4.63,CN,1691345440
245,thinadhoo,0.5333,72.9333,82.31,76,84,4.76,MV,1691345441
246,prince albert,53.2001,-105.7677,78.13,32,2,9.64,CA,1691345270
247,okha,53.5739,142.9478,53.83,69,91,7.94,RU,1691345441
248,daokou,35.5639,114.5058,73.17,86,2,6.24,CN,1691345441
249,vilyuchinsk,52.9306,158.4028,59.27,87,96,7.09,RU,1691345441
250,bamboo flat,11.7,92.7167,82.09,83,85,15.1,IN,1691345441
